comparison,objective_family,alpha,train_count,case_id,lhs_method,rhs_method,lhs_method_family,rhs_method_family,objective_difference_lhs_minus_rhs,objective_relative_difference_percent,runtime_difference_lhs_minus_rhs,runtime_ratio_lhs_over_rhs,mip_gap_difference_lhs_minus_rhs,test_expected_difference_lhs_minus_rhs,test_worst10_difference_lhs_minus_rhs
coverage_poly_vs_path_poly,CVaR,0.01,200,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,-3.6798179,0.7508751854,1.182e-05,0,0
coverage_exp_vs_path_exp,CVaR,0.01,200,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,8.03144552,1.770959547,4.451e-05,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,200,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,-7.35774927,0.6011824911,-8.4e-07,0,0
path_poly_vs_path_exp,CVaR,0.01,200,case03,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,4.35351415,1.417905256,3.185e-05,0,0
coverage_poly_vs_path_poly,CVaR,0.01,200,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,13.67824586,1.404848988,-5.45e-06,0,0
coverage_exp_vs_path_exp,CVaR,0.01,200,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,-3.16717038,0.9286042722,-2.9e-06,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,200,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,6.27067766,1.152224514,-5.42e-06,0,0
path_poly_vs_path_exp,CVaR,0.01,200,case04,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,-10.57473858,0.7616196583,-2.87e-06,0,0
coverage_poly_vs_path_poly,CVaR,0.01,400,case00,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,-0.03608086,0.9987836422,-2.029e-05,0,0
coverage_exp_vs_path_exp,CVaR,0.01,400,case00,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,6.92237308,1.202319238,5.14e-06,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,400,case00,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,-11.51052272,0.7201937385,-2.391e-05,0,0
path_poly_vs_path_exp,CVaR,0.01,400,case00,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,-4.55206878,0.8669573171,1.52e-06,0,0
coverage_poly_vs_path_poly,CVaR,0.01,400,case01,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,-81.64824123,0.549168403,3.5e-07,0,0
coverage_exp_vs_path_exp,CVaR,0.01,400,case01,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,26.67097624,1.532856224,9.3e-07,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,400,case01,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,22.73377945,1.296306618,9.24e-06,0,0
path_poly_vs_path_exp,CVaR,0.01,400,case01,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,131.0529969,3.618292051,9.82e-06,0,0
coverage_poly_vs_path_poly,CVaR,0.01,400,case02,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,81.99761239,3.267776185,4.46e-06,0,0
coverage_exp_vs_path_exp,CVaR,0.01,400,case02,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,-13.34490933,0.75579572,4.58e-06,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,400,case02,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,76.8537394,2.860793666,-2.61e-06,0,0
path_poly_vs_path_exp,CVaR,0.01,400,case02,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,-18.48878232,0.6616657586,-2.49e-06,0,0
