objective_family,landscape,case_id,alpha,seed,method_label,runtime_seconds,best_runtime_seconds,runtime_ratio,status,success
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,300.5514424,300.0229329,1.001761564,Feasible,true
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-Benders-Combinatorial,302.3864648,300.0229329,1.007877837,Feasible,true
MeanCVaR,Sub20,case03,0.01,20260604,FPP-SAA base,205.5215169,3.68281727,55.80551568,Optimal,true
MeanCVaR,Sub20,case03,0.01,20260604,FPP-SAA cut,300.0448805,3.68281727,81.47156334,Feasible,true
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders,3.68281727,3.68281727,1,Optimal,true
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI,6.32854304,3.68281727,1.718397242,Optimal,true
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,9.47617273,3.68281727,2.573077086,Optimal,true
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-Benders-Combinatorial,66.66502367,3.68281727,18.10163763,Optimal,true
MeanCVaR,Sub20,case03,0.02,20260604,FPP-SAA base,300.0223357,300.0223357,1,Feasible,true
MeanCVaR,Sub20,case03,0.02,20260604,FPP-SAA cut,300.0648676,300.0223357,1.000141762,Feasible,true
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders,300.3914457,300.0223357,1.001230275,Feasible,true
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI,300.2975263,300.0223357,1.000917234,Feasible,true
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,300.2987847,300.0223357,1.000921428,Feasible,true
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-Benders-Combinatorial,303.0534034,300.0223357,1.010102807,Feasible,true
MeanCVaR,Sub20,case04,0.01,20260605,FPP-SAA base,129.6542888,15.95023608,8.128675219,Optimal,true
MeanCVaR,Sub20,case04,0.01,20260605,FPP-SAA cut,300.0302724,15.95023608,18.81039697,Feasible,true
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders,19.82124414,15.95023608,1.242692838,Optimal,true
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI,17.36006339,15.95023608,1.088389119,Optimal,true
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,15.95023608,15.95023608,1,Optimal,true
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-Benders-Combinatorial,77.17450881,15.95023608,4.838455583,Optimal,true
MeanCVaR,Sub20,case04,0.02,20260605,FPP-SAA base,300.010929,300.010929,1,Feasible,true
MeanCVaR,Sub20,case04,0.02,20260605,FPP-SAA cut,300.0699526,300.010929,1.000196738,Feasible,true
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders,300.5153737,300.010929,1.001681421,Feasible,true
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI,300.4779313,300.010929,1.001556618,Feasible,true
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,300.4136437,300.010929,1.001342333,Feasible,true
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-Benders-Combinatorial,303.8352037,300.010929,1.012747118,Feasible,true
