objective_family,landscape,case_id,alpha,seed,method_label,objective_in_sample,best_bound,configured_mip_gap_column,computed_relative_gap,computed_relative_gap_percent,status
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI,174.72000000,174.55598650,0.001,0.000938721955128,0.0938721955128,Optimal
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,174.72000000,174.55669571,0.001,0.00093466283196,0.093466283196,Optimal
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-Benders-Combinatorial,174.72000000,174.58231841,0.001,0.000788012763278,0.0788012763278,Optimal
MeanCVaR,Sub20,case01,0.02,20260602,FPP-SAA base,138.01500000,120.97281967,0.001,0.123480638554,12.3480638554,Feasible
MeanCVaR,Sub20,case01,0.02,20260602,FPP-SAA cut,134.21500000,119.29012986,0.001,0.111201208062,11.1201208062,Feasible
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders,138.17500000,121.81323139,0.001,0.118413378759,11.8413378759,Feasible
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI,133.96000000,123.89411395,0.001,0.075140982756,7.5140982756,Feasible
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,133.96000000,126.54179056,0.001,0.0553763021798,5.53763021798,Feasible
MeanCVaR,Sub20,case01,0.02,20260602,FPP-Branch-Benders-Combinatorial,139.52500000,119.45191038,0.001,0.143867332879,14.3867332879,Feasible
MeanCVaR,Sub20,case02,0.01,20260603,FPP-SAA base,173.03500000,172.87449461,0.001,0.000927589158263,0.0927589158263,Optimal
MeanCVaR,Sub20,case02,0.01,20260603,FPP-SAA cut,173.03500000,170.01758683,0.001,0.0174381666715,1.74381666715,Feasible
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders,173.03500000,172.87271225,0.001,0.000937889733291,0.0937889733291,Optimal
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI,173.03500000,172.86466892,0.001,0.000984373566041,0.0984373566041,Optimal
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,173.03500000,172.86464792,0.001,0.000984494928772,0.0984494928772,Optimal
MeanCVaR,Sub20,case02,0.01,20260603,FPP-Branch-Benders-Combinatorial,173.03500000,172.87529221,0.001,0.000922979686191,0.0922979686191,Optimal
MeanCVaR,Sub20,case02,0.02,20260603,FPP-SAA base,137.39000000,124.40672061,0.001,0.0944994496688,9.44994496688,Feasible
MeanCVaR,Sub20,case02,0.02,20260603,FPP-SAA cut,133.64000000,122.97222593,0.001,0.079824708695,7.9824708695,Feasible
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders,134.83000000,128.26223482,0.001,0.0487114527924,4.87114527924,Feasible
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI,134.10000000,127.58453953,0.001,0.0485865806861,4.85865806861,Feasible
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,134.10000000,127.93237759,0.001,0.0459927099925,4.59927099925,Feasible
MeanCVaR,Sub20,case02,0.02,20260603,FPP-Branch-Benders-Combinatorial,136.86500000,124.34166846,0.001,0.0915013446827,9.15013446827,Feasible
MeanCVaR,Sub20,case03,0.01,20260604,FPP-SAA base,157.56500000,157.41292623,0.001,0.000965149430394,0.0965149430394,Optimal
MeanCVaR,Sub20,case03,0.01,20260604,FPP-SAA cut,157.82500000,152.68119859,0.001,0.0325918036433,3.25918036433,Feasible
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders,157.56500000,157.41653671,0.001,0.000942235204519,0.0942235204519,Optimal
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI,157.56500000,157.41268224,0.001,0.000966697934186,0.0966697934186,Optimal
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,157.56500000,157.41469988,0.001,0.000953892806143,0.0953892806143,Optimal
MeanCVaR,Sub20,case03,0.01,20260604,FPP-Branch-Benders-Combinatorial,157.56500000,157.40876130,0.001,0.000991582521499,0.0991582521499,Optimal
MeanCVaR,Sub20,case03,0.02,20260604,FPP-SAA base,120.48000000,110.36770451,0.001,0.0839333955013,8.39333955013,Feasible
MeanCVaR,Sub20,case03,0.02,20260604,FPP-SAA cut,121.37000000,107.11849589,0.001,0.117421966796,11.7421966796,Feasible
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders,118.40500000,112.71008609,0.001,0.0480969039314,4.80969039314,Feasible
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI,117.83000000,113.92723288,0.001,0.0331220157855,3.31220157855,Feasible
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,117.83000000,117.02861523,0.001,0.00680119468726,0.680119468726,Feasible
MeanCVaR,Sub20,case03,0.02,20260604,FPP-Branch-Benders-Combinatorial,121.61000000,110.62805953,0.001,0.0903045840803,9.03045840803,Feasible
MeanCVaR,Sub20,case04,0.01,20260605,FPP-SAA base,163.30000000,163.14839359,0.001,0.000928391977955,0.0928391977955,Optimal
MeanCVaR,Sub20,case04,0.01,20260605,FPP-SAA cut,163.30000000,159.60239116,0.001,0.0226430424985,2.26430424985,Feasible
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders,163.30000000,163.15310479,0.001,0.000899542008573,0.0899542008573,Optimal
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI,163.30000000,163.13673979,0.001,0.000999756338028,0.0999756338028,Optimal
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,163.30000000,163.14982601,0.001,0.000919620269443,0.0919620269443,Optimal
MeanCVaR,Sub20,case04,0.01,20260605,FPP-Branch-Benders-Combinatorial,163.30000000,163.14249178,0.001,0.000964532884262,0.0964532884262,Optimal
MeanCVaR,Sub20,case04,0.02,20260605,FPP-SAA base,122.42500000,115.22378251,0.001,0.058821462038,5.8821462038,Feasible
MeanCVaR,Sub20,case04,0.02,20260605,FPP-SAA cut,122.47000000,111.95764086,0.001,0.0858361977627,8.58361977627,Feasible
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders,125.98000000,113.12347230,0.001,0.102052132878,10.2052132878,Feasible
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI,122.63500000,114.65553523,0.001,0.0650667816692,6.50667816692,Feasible
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,121.75000000,114.77070036,0.001,0.057324843039,5.7324843039,Feasible
MeanCVaR,Sub20,case04,0.02,20260605,FPP-Branch-Benders-Combinatorial,124.40000000,114.43050006,0.001,0.0801406747588,8.01406747588,Feasible
