instance_id,instance_type,objective_family,alpha,train_scenario_count,method_family,method,projected_llbi_family_reconstructed,projected_llbi_variant_reconstructed,runs,solved_to_optimality,time_limited_with_incumbent,failed_or_without_incumbent,status_counts,avg_objective_value,avg_best_bound,avg_mip_gap,avg_runtime,avg_train_expected_burned_area,avg_test_expected_burned_area,avg_train_worst10_burned_area,avg_test_worst10_burned_area,avg_lazy_benders_cuts_added,avg_root_user_cuts_added,avg_standard_llbi_cut_count,avg_projected_llbi_cut_count,avg_root_separation_time,avg_subproblem_solving_time,avg_combinatorial_cut_count
new20x20,shortest_path,CVaR,0.03,400,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,140.935,127.2167415,0.097065214,1806.854369,80.5575,79.4792,140.935,146.942,7898.2,291.6,0,1000,3.627688326,70.95292505,0
new20x20,shortest_path,CVaR,0.03,400,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,0,0,0,Feasible:5,148.72,114.6251716,0.228709398,1802.134085,80.745,79.9296,148.72,155.648,20738,294.4,0,0,0,104.3047271,0
new20x20,shortest_path,CVaR,0.03,400,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,0,0,0,Feasible:5,1971.6,73.854764,0.853935588,1800.43884,192.6735,188.4714,327.01,325.566,0,0,0,0,0,0,0
new20x20,shortest_path,Expected,0.01,100,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,none,none,5,5,0,0,Optimal:5,126.554,126.5285841,0.000201814,15.17089861,126.554,135.7882,274.2,285.08,255.2,0,0,0,0,0,2490.4
new20x20,shortest_path,Expected,0.01,100,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-LLBI-RootCuts,none,none,5,5,0,0,Optimal:5,126.554,126.5340993,0.000155228,6.272305756,126.554,135.7882,274.2,285.08,611.8,75.8,100,0,0,3.906431626,0
new20x20,shortest_path,Expected,0.01,100,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,5,0,0,Optimal:5,126.554,126.4575354,0.00076492,7.741049744,126.554,135.7882,274.2,285.08,286.4,74.6,0,503,4.025762622,2.104491626,0
new20x20,shortest_path,Expected,0.01,100,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,path,exp,5,5,0,0,Optimal:5,126.554,126.5277673,0.00020591,3.089827596,126.554,135.7882,274.2,285.08,16.6,0,0,492.2,0.988020596,1.291893502,0
new20x20,shortest_path,Expected,0.01,100,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-RootCuts,none,none,5,5,0,0,Optimal:5,126.554,126.5041285,0.00039654,6.755813284,126.554,135.7882,274.2,285.08,1448.4,75,0,0,0,4.529594084,0
new20x20,shortest_path,Expected,0.01,100,FPP-SAA-fpp_base,FPP-SAA,none,none,5,5,0,0,Optimal:5,126.554,126.53,0.000191434,33.47092991,126.554,135.7882,274.2,285.08,0,0,0,0,0,0,0
new20x20,shortest_path,Expected,0.01,200,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,none,none,5,5,0,0,Optimal:5,131.701,131.697531,2.988e-05,30.46021035,131.701,133.3774,283.4,286.306,552.4,0,0,0,0,0,5056
