comparison,instance_id,instance_type,objective_family,alpha,train_count,case_id,lhs_method,rhs_method,lhs_method_family,rhs_method_family,objective_difference_lhs_minus_rhs,objective_relative_difference_percent,runtime_difference_lhs_minus_rhs,runtime_ratio_lhs_over_rhs,mip_gap_difference_lhs_minus_rhs,test_expected_difference_lhs_minus_rhs,test_worst10_difference_lhs_minus_rhs
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,200,case02,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0.35,0.2609992543,19.60642165,1.010877079,0.03362832,2.807,-5.86
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,200,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,-0.7,-0.503054258,7.29128648,1.004045132,0.01998821,0.306,1.98
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,200,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0.75,0.5362888809,16.86176959,1.009332783,0.03045966,-4.818,0.3
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,400,case00,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,15.70843915,1.008710649,0.01260644,0,0
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,400,case01,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,1.975,1.383537653,15.91910128,1.008826947,0.03496131,1.419,6.47
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,400,case02,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,-0.425,-0.3069146055,8.85191923,1.004890532,0.01468852,-0.632,-1.06
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,400,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,5,3.57079093,53.11274853,1.029325219,0.07537811,-0.467,2.38
coverage_exp_vs_path_exp,new20x20,shortest_path,CVaR,0.03,400,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0.475,0.3322259136,15.22961654,1.008431524,0.01632648,0.632,1.01
coverage_exp_vs_path_exp,new20x20,shortest_path,Expected,0.01,100,case00,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,2.45338702,1.524195434,-0.00084037,0,0
coverage_exp_vs_path_exp,new20x20,shortest_path,Expected,0.01,100,case01,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,3.46980777,2.659945264,0.00097274,0,0
