alpha,objective_family,projected_method,projected_variant,projected_llbi_strategy,projected_use_root_cuts,baseline_category,projected_rows,baseline_rows,projected_avg_objective_metric,baseline_avg_objective_metric,delta_objective_metric,projected_avg_best_bound,baseline_avg_best_bound,delta_best_bound,projected_avg_gap_metric,baseline_avg_gap_metric,delta_gap_metric,projected_avg_runtime_metric,baseline_avg_runtime_metric,delta_runtime_metric,projected_avg_explored_nodes,baseline_avg_explored_nodes,delta_explored_nodes,projected_avg_train_expected_burned_area,baseline_avg_train_expected_burned_area,delta_train_expected_burned_area,projected_avg_test_expected_burned_area,baseline_avg_test_expected_burned_area,delta_test_expected_burned_area,projected_avg_branch_benders_lazy_cuts_added,baseline_avg_branch_benders_lazy_cuts_added,delta_branch_benders_lazy_cuts_added,projected_avg_branch_benders_candidate_incumbents_checked,baseline_avg_branch_benders_candidate_incumbents_checked,delta_branch_benders_candidate_incumbents_checked,projected_avg_num_variables,baseline_avg_num_variables,delta_num_variables,projected_avg_num_constraints,baseline_avg_num_constraints,delta_num_constraints,projected_avg_num_nonzeros,baseline_avg_num_nonzeros,delta_num_nonzeros
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-SAA:fpp_base,5,5,223.88,224.08,-0.2,223.6739707,221.4755425,2.19842821,0.0009211255032,0.01111400097,-0.01019287546,6.480697782,193.9217267,-187.441029,2365,1260.8,1104.2,111.514,111.746,-0.232,113.5306667,113.4906667,0.04,138.2,0,138.2,23.8,0,23.8,561,36461,-35900,339.2,14363.4,-14024.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-SAA:fpp_cut,5,5,223.88,224.98,-1.1,223.6739707,210.4298458,13.24412493,0.0009211255032,0.06440510594,-0.06348398044,6.480697782,300.0381156,-293.5574178,2365,277.2,2087.8,111.514,110.038,1.476,113.5306667,112.9537778,0.576888888,138.2,0,138.2,23.8,0,23.8,561,28744.6,-28183.6,339.2,42547,-42207.8,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders,5,5,223.88,223.88,0,223.6739707,223.6684022,0.005568518,0.0009211255032,0.0009455973155,-2.447181226e-05,6.480697782,6.48959104,-0.008893258,2365,2686.6,-321.6,111.514,111.514,0,113.5306667,113.5306667,0,138.2,969.2,-831,23.8,29.4,-5.6,561,561,0,339.2,1070.2,-731,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-RootCuts,5,5,223.88,223.88,0,223.6739707,223.6657007,0.008270056,0.0009211255032,0.0009569257212,-3.580021804e-05,6.480697782,8.372967326,-1.892269544,2365,2819.6,-454.6,111.514,111.514,0,113.5306667,113.5306667,0,138.2,951,-812.8,23.8,26.8,-3,561,561,0,339.2,1081,-741.8,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI,5,5,223.88,223.88,0,223.6739707,223.6739707,0,0.0009211255032,0.0009211255032,0,6.480697782,9.995532844,-3.514835062,2365,2365,0,111.514,111.514,0,113.5306667,113.5306667,0,138.2,138.2,0,23.8,23.8,0,561,561,0,339.2,339.2,0,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI-RootCuts,5,5,223.88,223.88,0,223.6739707,223.668574,0.005396728,0.0009211255032,0.0009443730855,-2.32475823e-05,6.480697782,9.817455836,-3.336758054,2365,2541.8,-176.8,111.514,111.514,0,113.5306667,113.5306667,0,138.2,119.8,18.4,23.8,23,0.8,561,561,0,339.2,351.8,-12.6,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI,5,5,223.88,225.6,-1.72,223.6739707,212.9719549,10.70201578,0.0009211255032,0.05584846101,-0.05492733551,6.480697782,282.6617104,-276.1810126,2365,461.6,1903.4,111.514,110.798,0.716,113.5306667,113.8564444,-0.325777778,138.2,10.6,127.6,23.8,10.2,13.6,561,14602.8,-14041.8,339.2,14253.4,-13914.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI-RootCuts,5,5,223.88,225.38,-1.5,223.6739707,211.770175,11.90379568,0.0009211255032,0.05998962082,-0.05906849532,6.480697782,293.7057326,-287.2250348,2365,448.4,1916.6,111.514,109.768,1.746,113.5306667,111.9817778,1.548888888,138.2,6,132.2,23.8,8.4,15.4,561,14602.8,-14041.8,339.2,14257.8,-13918.6,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-PathLLBI,5,5,223.88,225.74,-1.86,223.6739707,213.4505097,10.22346102,0.0009211255032,0.05359186263,-0.05267073713,6.480697782,273.8132128,-267.332515,2365,542,1823,111.514,110.228,1.286,113.5306667,111.4288889,2.101777776,138.2,0,138.2,23.8,4.2,19.6,561,14702.8,-14141.8,339.2,14951.2,-14612,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-PathLLBI-RootCuts,5,5,223.88,225.74,-1.86,223.6739707,213.5613568,10.11261397,0.0009211255032,0.05306960426,-0.05214847876,6.480697782,278.989095,-272.5083973,2365,532.4,1832.6,111.514,110.228,1.286,113.5306667,111.4288889,2.101777776,138.2,0,138.2,23.8,4.2,19.6,561,14702.8,-14141.8,339.2,14951.2,-14612,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,5,223.88,281.04,-57.16,223.6739707,-6e+74,6e+74,0.0009211255032,0.1003022204,-0.09938109492,6.480697782,302.6003178,-296.11962,2365,34,2331,111.514,128.41,-16.896,113.5306667,126.2255556,-12.69488889,138.2,0,138.2,23.8,2,21.8,561,28744.6,-28183.6,339.2,29093,-28753.8,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,5,223.88,226.94,-3.06,223.6739707,205.0367918,18.63717894,0.0009211255032,0.09649713795,-0.09557601244,6.480697782,301.8138987,-295.333201,2365,42,2323,111.514,109.976,1.538,113.5306667,111.8466667,1.683999998,138.2,0,138.2,23.8,4,19.8,561,28744.6,-28183.6,339.2,29093,-28753.8,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,5,223.88,226.44,-2.56,223.6739707,208.3351458,15.33882495,0.0009211255032,0.08005794521,-0.07913681971,6.480697782,301.6086788,-295.127981,2365,67.8,2297.2,111.514,110.89,0.624,113.5306667,113.73,-0.199333336,138.2,0,138.2,23.8,4.2,19.6,561,28744.6,-28183.6,339.2,29193,-28853.8,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,5,223.88,245.48,-21.6,223.6739707,207.344042,16.32992868,0.0009211255032,0.1396686143,-0.1387474888,6.480697782,301.6465244,-295.1658266,2365,51.8,2313.2,111.514,116.822,-5.308,113.5306667,118.0795556,-4.548888892,138.2,0,138.2,23.8,3.6,20.2,561,28744.6,-28183.6,339.2,29193,-28853.8,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-Combinatorial,5,5,223.88,223.88,0,223.6739707,223.6779028,-0.003932074,0.0009211255032,0.0009028042152,1.832128796e-05,6.480697782,132.5955063,-126.1148086,2365,1158.4,1206.6,111.514,111.514,0,113.5306667,113.5306667,0,138.2,85,53.2,23.8,16,7.8,561,561,0,339.2,2977.6,-2638.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-SAA:fpp_base,5,5,223.88,224.08,-0.2,223.668574,221.4755425,2.193031482,0.0009443730855,0.01111400097,-0.01016962788,6.288929624,193.9217267,-187.6327971,2541.8,1260.8,1281,111.514,111.746,-0.232,113.5306667,113.4906667,0.04,119.8,0,119.8,23,0,23,561,36461,-35900,351.8,14363.4,-14011.6,,,
