alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_projected_llbi_cuts_added,min_projected_llbi_cuts_added,max_projected_llbi_cuts_added,avg_projected_llbi_coverage_cuts_added,min_projected_llbi_coverage_cuts_added,max_projected_llbi_coverage_cuts_added,avg_projected_llbi_path_cuts_added,min_projected_llbi_path_cuts_added,max_projected_llbi_path_cuts_added,avg_projected_llbi_total_nonzeros,min_projected_llbi_total_nonzeros,max_projected_llbi_total_nonzeros,avg_projected_llbi_avg_nonzeros_per_cut,min_projected_llbi_avg_nonzeros_per_cut,max_projected_llbi_avg_nonzeros_per_cut,avg_projected_llbi_max_nonzeros_per_cut,min_projected_llbi_max_nonzeros_per_cut,max_projected_llbi_max_nonzeros_per_cut,avg_projected_llbi_separation_time_sec,min_projected_llbi_separation_time_sec,max_projected_llbi_separation_time_sec,avg_projected_llbi_total_time_sec,min_projected_llbi_total_time_sec,max_projected_llbi_total_time_sec,avg_projected_llbi_root_bound_improvement_abs,min_projected_llbi_root_bound_improvement_abs,max_projected_llbi_root_bound_improvement_abs,avg_projected_llbi_root_bound_improvement_pct,min_projected_llbi_root_bound_improvement_pct,max_projected_llbi_root_bound_improvement_pct
0.02,Expected,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,172,119,266,18.2,13,25,521.8,471,551,521.8,471,551,0,0,0,81775.8,71022,88697,156.6013685,150.71875,164.2537037,345.2,327,353,2.028131568,1.63325018,2.41513343,2.19259642,1.75813512,2.65462974,80.67459714,75.98582045,84.76667723,8067.459714,7598.582045,8476.667723
0.02,Expected,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,5,Optimal:5,2769.8,1388,4279,94.4,50,145,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,Expected,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,1950,926,3605,67.8,33,109,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,Expected,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedPathLLBI-exp,5,Optimal:5,128.6,81,169,17.8,16,21,518.6,458,550,0,0,0,518.6,458,550,81188.6,69257,86925,156.4479917,151.2161572,161.6826004,345.2,327,353,0.57627808,0.48850175,0.63195422,0.752742264,0.62358875,0.84324559,81.06316542,76.16977786,85.15044981,8106.316542,7616.977786,8515.044981
0.02,Expected,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,127.6,96,170,17.4,16,19,518.6,458,550,0,0,0,518.6,458,550,81188.6,69257,86925,156.4479917,151.2161572,161.6826004,345.2,327,353,0.458656966,0.26126617,0.62988275,0.59576975,0.34111474,0.82040709,81.06316542,76.16977786,85.15044981,8106.316542,7616.977786,8515.044981
0.02,Expected,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedPathLLBI-poly,5,Optimal:5,2625.8,1590,3776,88.6,49,129,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,Expected,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,1947.8,1558,2787,69,52,93,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp,5,Feasible:3;Optimal:2,829.2,233,1389,48.2,24,66,422,397,463,422,397,463,0,0,0,73005,65619,79902,173.0626041,165.062635,181.1836735,345.2,327,353,1.851766688,1.7007807,2.20430392,2.003400064,1.84006834,2.41071704,112.7907239,105.2872674,118.309023,11279.07239,10528.72674,11830.9023
0.02,MeanCVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Feasible:4;Optimal:1,872.6,421,1542,52.6,28,78,422,397,463,422,397,463,0,0,0,73005,65619,79902,173.0626041,165.062635,181.1836735,345.2,327,353,1.759906902,1.63507728,1.90754965,1.906671614,1.77009439,2.04171221,112.7907239,105.2872674,118.309023,11279.07239,10528.72674,11830.9023
0.02,MeanCVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly,5,Feasible:5,2624.2,1442,4431,78,45,117,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Feasible:5,2523.4,1305,4044,82.8,51,117,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp,5,Feasible:2;Optimal:3,683.2,67,1200,42,15,62,422.6,389,452,0,0,0,422.6,389,452,73195.8,65076,77859,173.2774935,166.7282851,180.1868687,345.2,327,353,0.498215338,0.45092448,0.55099642,0.632345012,0.56124966,0.68023909,113.3144805,105.5612857,118.9958011,11331.44805,10556.12857,11899.58011
0.02,MeanCVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,5,Feasible:2;Optimal:3,623.8,74,1090,42,18,56,422.6,389,452,0,0,0,422.6,389,452,73195.8,65076,77859,173.2774935,166.7282851,180.1868687,345.2,327,353,0.44617764,0.27006195,0.57620542,0.574128874,0.33312203,0.77530931,113.3144805,105.5612857,118.9958011,11331.44805,10556.12857,11899.58011
0.02,MeanCVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly,5,Feasible:5,2332.4,1763,3341,73.8,59,93,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.02,MeanCVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,5,Feasible:5,2260.2,1316,4027,76.8,50,116,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
