source,task_id,alpha,case_id,objective_family,method,status,runtime_seconds,time_limit,objective,best_bound,reported_mip_gap,solver_mip_gap,calculated_gap,gap_excluded_reason
previous,worker_01_task_014,0.02,case00,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Feasible,303.02213421,300,102.72,79.94829886,0.001,,0.2216871217,
previous,worker_01_task_015,0.02,case00,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,302.70402090,300,102.72,79.94416465,0.001,,0.2217273691,
previous,worker_01_task_011,0.02,case00,Expected,FPP-Branch-Benders-CoverageLLBI-RootCuts,Optimal,142.54271384,300,81.79,81.72270115,0.001,,0.0008228249175,
previous,worker_01_task_008,0.02,case00,Expected,FPP-Branch-Benders-LLBI,Optimal,71.46563690,300,81.79,81.70822425,0.001,,0.0009998257733,
previous,worker_01_task_016,0.02,case00,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,303.00412671,300,102.72,79.94716859,0.001,,0.2216981251,
previous,worker_01_task_017,0.02,case00,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,303.21386121,300,102.72,79.95156707,0.001,,0.221655305,
previous,worker_01_task_009,0.02,case00,Expected,FPP-Branch-Benders-LLBI-RootCuts,Optimal,43.57289786,300,81.79,81.70829768,0.001,,0.0009989279863,
previous,worker_01_task_012,0.02,case00,Expected,FPP-Branch-Benders-PathLLBI,Optimal,144.34186653,300,81.79,81.75273515,0.001,,0.0004556162123,
previous,worker_01_task_013,0.02,case00,Expected,FPP-Branch-Benders-PathLLBI-RootCuts,Optimal,141.36340293,300,81.79,81.75273515,0.001,,0.0004556162123,
previous,worker_01_task_007,0.02,case00,Expected,FPP-Branch-Benders-RootCuts,Optimal,65.80498858,300,81.79,81.70827212,0.001,,0.0009992404939,
previous,worker_01_task_042,0.02,case00,Expected,FPP-Branch-Benders-Combinatorial,Optimal,41.71488789,300,81.79,81.76181818,0.001,,0.0003445631495,
previous,worker_01_task_000,0.02,case00,Expected,FPP-SAA-fpp_base,Optimal,27.47655454,300,81.79,81.71000000,0.001,,0.0009781146839,
previous,worker_01_task_001,0.02,case00,Expected,FPP-SAA-fpp_cut,Optimal,84.75039078,300,81.79,81.79000000,0.001,,0,
previous,worker_01_task_030,0.02,case00,MeanCVaR,FPP-Branch-Benders,Feasible,300.37337667,300,130.605,118.78688818,0.001,,0.09048743785,
previous,worker_01_task_034,0.02,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI,Feasible,300.48130422,300,126.845,119.25945741,0.001,,0.0598016681,
previous,worker_01_task_038,0.02,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Feasible,300.92246977,300,126.845,117.53133797,0.001,,0.07342553534,
previous,worker_01_task_039,0.02,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.58378585,300,126.845,116.72225262,0.001,,0.07980407095,
previous,worker_01_task_035,0.02,case00,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,Feasible,300.75227005,300,126.845,120.23069084,0.001,,0.0521448158,
previous,worker_01_task_032,0.02,case00,MeanCVaR,FPP-Branch-Benders-LLBI,Feasible,300.49442309,300,126.845,122.32531240,0.001,,0.0356315787,
previous,worker_01_task_040,0.02,case00,MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,301.01326891,300,129.39,118.98460460,0.001,,0.08041885308,
previous,worker_01_task_041,0.02,case00,MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,300.92015718,300,129.39,118.98460460,0.001,,0.08041885308,
previous,worker_01_task_033,0.02,case00,MeanCVaR,FPP-Branch-Benders-LLBI-RootCuts,Feasible,300.50117215,300,126.845,122.86573713,0.001,,0.03137106603,
previous,worker_01_task_036,0.02,case00,MeanCVaR,FPP-Branch-Benders-PathLLBI,Feasible,301.04258731,300,126.845,120.76282574,0.001,,0.04794965714,
previous,worker_01_task_037,0.02,case00,MeanCVaR,FPP-Branch-Benders-PathLLBI-RootCuts,Feasible,301.07774592,300,126.845,120.76282574,0.001,,0.04794965714,
previous,worker_01_task_031,0.02,case00,MeanCVaR,FPP-Branch-Benders-RootCuts,Feasible,300.33925420,300,126.845,125.47826324,0.001,,0.01077485719,
previous,worker_01_task_044,0.02,case00,MeanCVaR,FPP-Branch-Benders-Combinatorial,Feasible,302.63538075,300,128.685,120.49287125,0.001,,0.06366032366,
previous,worker_01_task_004,0.02,case00,MeanCVaR,FPP-SAA-fpp_base,Feasible,300.02160821,300,128.6,122.07897517,0.001,,0.05070781361,
previous,worker_01_task_005,0.02,case00,MeanCVaR,FPP-SAA-fpp_cut,Feasible,300.04106254,300,126.845,118.57500294,0.001,,0.06519765903,
previous,worker_02_task_018,0.01,case01,CVaR,FPP-Branch-Benders,Optimal,7.81018112,300,234.3,234.07009911,0.001,,0.0009812244558,
previous,worker_02_task_022,0.01,case01,CVaR,FPP-Branch-Benders-CoverageLLBI,Feasible,301.26153581,300,237,214.65235176,0.001,,0.09429387443,
previous,worker_02_task_026,0.01,case01,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Feasible,301.17108643,300,237,209.35047773,0.001,,0.1166646509,
previous,worker_02_task_027,0.01,case01,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.17643226,300,237,210.23622987,0.001,,0.1129273001,
previous,worker_02_task_023,0.01,case01,CVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,Feasible,301.12729776,300,237.6,209.23691731,0.001,,0.1193732436,
previous,worker_02_task_020,0.01,case01,CVaR,FPP-Branch-Benders-LLBI,Optimal,13.00348881,300,234.3,234.07486514,0.001,,0.0009608828852,
previous,worker_02_task_028,0.01,case01,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,301.15209133,300,237.6,214.06929003,0.001,,0.09903497462,
previous,worker_02_task_029,0.01,case01,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.19662994,300,237.6,212.21052547,0.001,,0.1068580578,
previous,worker_02_task_021,0.01,case01,CVaR,FPP-Branch-Benders-LLBI-RootCuts,Optimal,5.89227749,300,234.3,234.07914160,0.001,,0.0009426308152,
previous,worker_02_task_024,0.01,case01,CVaR,FPP-Branch-Benders-PathLLBI,Feasible,301.15981417,300,237.6,210.62795322,0.001,,0.1135187154,
previous,worker_02_task_025,0.01,case01,CVaR,FPP-Branch-Benders-PathLLBI-RootCuts,Feasible,302.78414719,300,237.6,210.62795322,0.001,,0.1135187154,
previous,worker_02_task_019,0.01,case01,CVaR,FPP-Branch-Benders-RootCuts,Optimal,17.23777909,300,234.3,234.06631788,0.001,,0.0009973628681,
previous,worker_02_task_043,0.01,case01,CVaR,FPP-Branch-Benders-Combinatorial,Optimal,163.10927209,300,234.3,234.07486048,0.001,,0.0009609027742,
previous,worker_02_task_002,0.01,case01,CVaR,FPP-SAA-fpp_base,Feasible,300.02746967,300,235.3,223.12263765,0.001,,0.05175249618,
previous,worker_02_task_003,0.01,case01,CVaR,FPP-SAA-fpp_cut,Feasible,300.06015542,300,234.3,209.69248676,0.001,,0.1050256647,
previous,worker_02_task_006,0.01,case01,Expected,FPP-Branch-Benders,Optimal,6.68053289,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_010,0.01,case01,Expected,FPP-Branch-Benders-CoverageLLBI,Optimal,29.23598445,300,110.8,110.77064935,0.001,,0.0002648975632,
previous,worker_02_task_014,0.01,case01,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Optimal,130.88035067,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_015,0.01,case01,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,302.54413944,300,119,110.56555556,0.001,,0.07087768437,
previous,worker_02_task_011,0.01,case01,Expected,FPP-Branch-Benders-CoverageLLBI-RootCuts,Optimal,26.14089453,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_008,0.01,case01,Expected,FPP-Branch-Benders-LLBI,Optimal,4.19825618,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_016,0.01,case01,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Optimal,280.70335634,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_017,0.01,case01,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Optimal,118.38309586,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_009,0.01,case01,Expected,FPP-Branch-Benders-LLBI-RootCuts,Optimal,4.40270052,300,110.8,110.70339131,0.001,,0.0008719195848,
previous,worker_02_task_012,0.01,case01,Expected,FPP-Branch-Benders-PathLLBI,Optimal,40.60275203,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_013,0.01,case01,Expected,FPP-Branch-Benders-PathLLBI-RootCuts,Optimal,38.51982063,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_007,0.01,case01,Expected,FPP-Branch-Benders-RootCuts,Optimal,8.21927450,300,110.8,110.70993508,0.001,,0.0008128602888,
previous,worker_02_task_042,0.01,case01,Expected,FPP-Branch-Benders-Combinatorial,Optimal,6.06130124,300,110.8,110.79148148,0.001,,7.688194946e-05,
previous,worker_02_task_000,0.01,case01,Expected,FPP-SAA-fpp_base,Optimal,3.54073207,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_001,0.01,case01,Expected,FPP-SAA-fpp_cut,Optimal,15.65482474,300,110.8,110.80000000,0.001,,0,
previous,worker_02_task_030,0.01,case01,MeanCVaR,FPP-Branch-Benders,Optimal,5.88003530,300,174.72,174.57685335,0.001,,0.0008192917239,
